SIT_MATRICULA,PAI_FALECIDO,MAE_FALECIDO,RENDA_FAMILIAR,TIPO_ESCOLA_ORIGEM,ANO_CONCLUSAO_2_GRAU,RENDA_PER_CAPITA,COD_ESTADO_CIVIL,N_FILHOS,SEXO,PROFISSAO,DESC_CIDADE,DESC_ESTADO,DESC_IDIOMA,NIVEL_FALA,NIVEL_COMPREENSAO,NIVEL_ESCRITA,NIVEL_LEITURA,NOTAS,N_FALTAS,COD_DISCIPLINA,CARGA_HOR,ANO_INGRESSO,IDADE_INGRESSO
9,0.0,0.0,0.0,P,2012.0,10.0,S,0.0,M,Estudante,Goiânia,Goiás,Inglês,1.0,1.0,1.0,1.0,5.70,,648,54,2014,19.0
0,0.0,0.0,0.0,,,10.0,,0.0,M,,Palmas,Tocantins,,,,,,6.50,0.0,648,54,2014,22.0
0,0.0,0.0,0.0,,,10.0,S,0.0,M,,Goiânia,Goiás,Inglês,2.0,2.0,2.0,2.0,5.20,,648,54,2014,21.0
0,0.0,0.0,0.0,,,10.0,S,0.0,M,,Goiânia,Goiás,Espanhol,1.0,2.0,1.0,3.0,5.20,,648,54,2014,21.0
2,0.0,0.0,0.0,E,2011.0,10.0,C,0.0,F,Estudante,Goiânia,Goiás,,,,,,7.90,,648,54,2014,20.0
0,0.0,0.0,,P,2013.0,,S,,M,,Goiânia,Goiás,Inglês,1.0,1.0,1.0,1.0,8.50,0.0,648,54,2014,19.0
9,0.0,0.0,0.0,P,2006.0,10.0,S,0.0,M,,Goiânia,Goiás,,,,,,0.00,0.0,648,54,2014,25.0
9,0.0,0.0,0.0,F,2008.0,10.0,,1.0,M,Estudante,Goiânia,Goiás,Inglês,2.0,3.0,2.0,3.0,0.00,0.0,648,54,2014,23.0
9,0.0,0.0,0.0,F,2008.0,10.0,,1.0,M,Estudante,Goiânia,Goiás,Inglês,2.0,3.0,2.0,3.0,0.00,2.0,648,54,2014,23.0
0,0.0,0.0,0.0,P,2011.0,10.0,,0.0,M,,Goiânia,Goiás,Inglês,2.0,2.0,2.0,2.0,7.00,,648,54,2014,20.0
2,0.0,0.0,0.0,E,2013.0,10.0,S,0.0,M,,Barro Alto,Goiás,,,,,,7.00,0.0,648,54,2014,18.0
10,0.0,0.0,0.0,E,2013.0,10.0,S,0.0,M,,Goiânia,Goiás,Inglês,1.0,2.0,1.0,2.0,7.00,0.0,648,54,2015,18.0
